loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),state(N)
2017-10-29 14:06:06.968 -0500,11,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303965.999678,38.57582379601763,-90.15866858893088,125.3602,0,128.671875,3,5,-9999,1509303965.983464,3.905834197998047,-51.64251708984375,-32.0880126953125,182.2437896728516,183.7924346923828,40,96717.56350925,0.3417205810546875,0.0705413818359375,-0.9383392333984375,96716.86995966667,-0.01589134854061182,-0.08841561661008566,0.002876746609503593,96716.313708125,walking,1,2017-10-29 14:06:05.711 -0500,null,0,0,0,0,null,96714.642442,0,0.7294617,99.5994,5,0
2017-10-29 14:06:07.984 -0500,12,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303966.999992,38.57582379601763,-90.15866858893088,125.3088,0,128.671875,3,5,-9999,1509303967.005947,3.830974578857422,-51.5673828125,-32.23876953125,182.3333892822266,183.8820343017578,40,96718.57321325001,0.2424163818359375,0.093963623046875,-0.94573974609375,96717.87896925,-0.005330316921793595,-0.04151948034266235,0.007349791976400681,96716.313708125,walking,1,2017-10-29 14:06:05.711 -0500,null,0,0,0,0,null,96715.680375,0,0.7615814,99.59902,5,0
2017-10-29 14:06:09.024 -0500,13,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303968.000066,38.57582379601763,-90.15866858893088,125.4802,0,128.671875,3,5,-9999,1509303968.022632,4.131420135498047,-51.49305725097656,-31.78717041015625,182.4401702880859,183.9888153076172,40,96719.58287591668,0.3544158935546875,0.052764892578125,-0.9165496826171875,96718.88797125001,0.001970739206658636,0.04264147010991273,0.01075863817170211,96719.21307525001,stationary,0,2017-10-29 14:06:08.619 -0500,null,0,0,0,0,null,96716.717869,0,0.7957458,99.59862,5,0
2017-10-29 14:06:09.997 -0500,14,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303969.000093,38.57582379601763,-90.15866858893088,125.6436,0,128.671875,3,5,-9999,1509303969.041297,3.606319427490234,-51.56637573242188,-31.56512451171875,182.4810333251953,184.0296783447266,40,96720.59252441667,0.3127899169921875,0.0370635986328125,-0.95489501953125,96719.89702391667,-0.006411294008256758,0.002117213066612994,-8.362325822848808e-05,96720.50539641667,unknown,2,2017-10-29 14:06:09.912 -0500,null,0,0,0,0,null,96717.755808,0,0.8773041,99.59766,5,0
2017-10-29 14:06:11.024 -0500,15,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303970.000093,38.57582379601763,-90.15866858893088,125.6084,0,128.671875,3,5,-9999,1509303970.062726,3.831508636474609,-51.49208068847656,-31.6390380859375,182.5023651123047,184.0510101318359,40,96721.60211950001,0.3378753662109375,0.0421142578125,-0.903717041015625,96720.90600041667,-0.008339688953583134,-0.09056052655203549,-0.005566539310483624,96720.50539641667,unknown,2,2017-10-29 14:06:09.912 -0500,null,0,0,0,0,null,96718.79289899999,0,1.022598,99.59593,5,0
2017-10-29 14:06:12.017 -0500,16,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303971.000093,38.57582379601763,-90.15866858893088,125.6109,0,128.671875,3,5,-9999,1509303971.079369,3.155986785888672,-51.64010620117188,-31.79254150390625,182.5472717285156,184.0959167480469,40,96722.61168016668,0.369720458984375,0.09124755859375,-0.9424591064453125,96721.91504650001,0.00957033569330875,-0.0127347037005409,0.007587079629526742,96722.1207655,stationary,0,2017-10-29 14:06:11.527 -0500,null,0,0,0,0,null,96719.83059699999,0,1.144943,99.59448,5,0
2017-10-29 14:06:13.026 -0500,17,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303972.000093,38.57582379601763,-90.15866858893088,125.7119,0,128.671875,3,5,-9999,1509303972.098294,3.157100677490234,-51.26512145996094,-31.7938232421875,182.5736694335938,184.122314453125,40,96723.62126725001,0.3643646240234375,0.2025909423828125,-1.165802001953125,96722.92405816667,-0.02511893540162738,0.2040705774817198,-0.1025849651898523,96722.1207655,stationary,0,2017-10-29 14:06:11.527 -0500,null,0,0,0,0,null,96720.868749,0,1.188782,99.59396,5,0
2017-10-29 14:06:14.062 -0500,18,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303973.000093,38.57582379601763,-90.15866858893088,125.6849,0,128.671875,3,5,-9999,1509303973.117256,4.055828094482422,-51.71772766113281,-31.63690185546875,182.4355926513672,183.9842376708984,40,96724.63084575001,0.3157806396484375,0.1206207275390625,-1.021270751953125,96723.93309525,-0.03314117555327306,0.1287204291795629,-0.02270557882179757,96722.1207655,stationary,0,2017-10-29 14:06:11.527 -0500,null,0,0,0,0,null,96721.90594500001,0,1.191849,99.59393,5,0
2017-10-29 14:06:15.045 -0500,19,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303973.000093,38.57582379601763,-90.15866858893088,125.6849,0,128.671875,3,5,-9999,1509303974.136274,3.605266571044922,-51.86651611328125,-31.86407470703125,182.5764312744141,184.1250762939453,40,96725.640436375,0.2403411865234375,0.151641845703125,-0.92333984375,96724.94212475,-0.02667368884601563,0.08933201034118193,-0.0216008996016327,96722.1207655,stationary,0,2017-10-29 14:06:11.527 -0500,null,0,0,0,0,null,96722.94242199999,0,1.202042,99.5938,5,0
2017-10-29 14:06:16.063 -0500,20,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303975.000093,38.57582379601763,-90.15866858893088,125.8942,0,128.671875,3,5,-9999,1509303975.15536,3.980113983154297,-51.94255065917969,-31.7115478515625,182.5342254638672,184.0828704833984,40,96726.649997,0.3503875732421875,0.0516815185546875,-0.9194183349609375,96725.95113537501,-0.009476326106828954,-0.02029515171916685,-0.01189900375047404,96722.1207655,stationary,0,2017-10-29 14:06:11.527 -0500,null,0,0,0,0,null,96722.94242199999,0,1.202042,99.5938,5,0
