loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),label(N)
2018-10-15 17:34:37.441 -0500,1,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642876.999725,38.66247121713931,-90.64778532841302,144.1087,0,215.15625,4,5,-9999,1539642877.146851,-9.761631011962891,10.80156326293945,-52.58905029296875,15.24179077148438,16.75690841674805,20,215704.50609625,0.0072174072265625,-0.354522705078125,-0.9130401611328125,215704.2109470417,-0.1879533928806693,-0.5905818043876448,0.24444170276234,215701.211197375,unknown,2,2018-10-15 17:34:34.136 -0500,215701.491314,0,0.1796761,100.8062,5,0
2018-10-15 17:34:38.027 -0500,2,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642876.999725,38.66247121713931,-90.64778532841302,144.1087,0,215.15625,4,5,-9999,1539642877.866064,-7.592350006103516,8.994754791259766,-53.16973876953125,14.21992778778076,15.73504543304443,20,215705.10109825,0.0123443603515625,-0.3748931884765625,-0.897674560546875,215704.88060825,0.01051229577086978,0.04372351246081192,0.01087501831133857,215701.211197375,unknown,2,2018-10-15 17:34:34.136 -0500,215701.491314,0,0.1796761,100.8062,5,0
2018-10-15 17:34:38.621 -0500,3,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642877.999705,38.66247121713931,-90.64778532841302,144.0685,0,215.15625,4,5,-9999,1539642878.585218,-7.514606475830078,9.969333648681641,-53.5477294921875,14.53474426269531,16.04986190795898,20,215705.6960131667,0.0057830810546875,-0.3723907470703125,-0.90081787109375,215705.5493761667,-0.06304927354318993,0.03394678178302203,-0.00294119510788351,215705.4102461667,stationary,0,2018-10-15 17:34:38.335 -0500,215702.527919,0,0.1770325,100.8062,5,0
2018-10-15 17:34:39.216 -0500,4,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642878.999685,38.66247121713931,-90.64778532841302,144.0573,0,215.15625,4,5,-9999,1539642878.944868,-7.365512847900391,9.743656158447266,-53.99603271484375,14.43487739562988,15.94999504089355,20,215706.2909841667,-0.136474609375,-0.24310302734375,-0.89990234375,215706.2190841667,-0.06819876182696714,0.4940472748783436,0.006117813656130026,215705.4102461667,stationary,0,2018-10-15 17:34:38.335 -0500,215703.563844,0,0.1770325,100.8062,5,0
2018-10-15 17:34:39.816 -0500,5,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642878.999685,38.66247121713931,-90.64778532841302,144.0573,0,215.15625,4,5,-9999,1539642879.66577,-3.239551544189453,8.834964752197266,-46.6180419921875,22.27996253967285,23.79508018493652,20,215706.8858762917,0.119049072265625,-0.494140625,-1.304946899414062,215706.5530212917,0.1282850023413349,-0.5157706798901199,-0.1601643721701284,215706.7055782917,unknown,2,2018-10-15 17:34:39.630 -0500,215703.563844,0,0.1770325,100.8062,5,0
2018-10-15 17:34:40.407 -0500,6,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642879.999663,38.66247121713931,-90.64778532841302,144.0611,0,215.15625,4,5,-9999,1539642880.383194,24.10331344604492,-4.364604949951172,-31.707763671875,59.79144668579102,61.30656433105469,20,215707.480833,0.656646728515625,-0.02398681640625,-0.8184356689453125,215707.2227292917,1.213184658774075,1.484804719409001,-0.9203517211083416,215706.7055782917,unknown,2,2018-10-15 17:34:39.630 -0500,215704.600295,0,0.187603,100.8061,5,0
2018-10-15 17:34:41.001 -0500,7,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642879.999663,38.66247121713931,-90.64778532841302,144.0611,0,215.15625,4,5,-9999,1539642880.743169,3.416286468505859,3.337329864501953,-51.95892333984375,68.66931915283203,70.18444061279297,20,215708.075835,0.17425537109375,-0.117950439453125,-0.6455230712890625,215707.891508,-0.1134120466015694,-0.8282529527106763,-2.579131433468404,215706.7055782917,unknown,2,2018-10-15 17:34:39.630 -0500,215704.600295,0,0.187603,100.8061,5,0
2018-10-15 17:34:41.605 -0500,8,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642880.999639,38.66247121713931,-90.64778532841302,144.131,0,164.8828125,4,5,-9999,1539642881.461742,15.83091354370117,15.82724380493164,-47.65313720703125,71.71257019042969,73.22769165039062,20,215708.6707216667,0.7306365966796875,0.1145172119140625,-0.798858642578125,215708.5611636667,0.9257049412155099,-1.287903904213993,-1.212851231005597,215706.7055782917,unknown,2,2018-10-15 17:34:39.630 -0500,215705.637971,0,0.240448,100.8055,5,0
2018-10-15 17:34:42.191 -0500,9,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642881.999614,38.66248408336067,-90.64780460679032,143.6335,0.17,159.609375,4,5,-9999,1539642882.180795,-11.78400039672852,11.48321914672852,-51.40362548828125,99.93083953857422,101.4459609985352,20,215709.2657226667,0.0765380859375,0.3192901611328125,-1.169357299804688,215709.2299556667,0.4755106084269561,-1.365721204949999,-0.3765344928302702,215706.7055782917,unknown,2,2018-10-15 17:34:39.630 -0500,215705.637971,0,0.240448,100.8055,5,0
2018-10-15 17:34:42.789 -0500,10,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539642881.999614,38.66248408336067,-90.64780460679032,143.6335,0.17,159.609375,4,5,-9999,1539642882.539719,-20.62749099731445,12.93689346313477,-47.11175537109375,74.34109497070312,75.85621643066406,20,215709.860712625,-0.0948638916015625,0.096160888671875,-1.271209716796875,215709.564783625,-0.2711446863803465,0.06646051658347243,-0.03026043420213435,215706.7055782917,unknown,2,2018-10-15 17:34:39.630 -0500,215706.673867,0,0.240448,100.8055,5,0
